state,x,y
Andhra Pradesh,-83, -140
Arunachal Pradesh,211, 149
Assam,185, 110
Bihar,49, 86
Chhattisgarh,-17, 4
Goa,-173, -125
Gujarat,-229, 36
Haryana,-126, 165
Himachal Pradesh, -111, 225
Jharkhand,35, 44
Karnataka,-151, -142
Kerala,-122, -250
Madhya Pradesh,-101, 38
Maharashtra,-143, -36
Manipur,217, 75
Meghalaya,154, 88
Mizoram,199, 42
Nagaland,232, 108
Odisha,30, -21
Punjab, -143, 203
Rajasthan,-190, 112
Sikkim,109, 147
Tamil Nadu,-92, -214
Telangana,-76, -75
Tripura,174, 50
Uttar Pradesh,-61, 118
Uttarakhand, -81, 189
West Bengal,91, 36
